date,copper,coal,oil
1997-03-01,2420.1842087265,34.5,19.5595238095238
1997-04-01,2389.31814949341,35.4,17.7754545454545
1997-05-01,2513.29993523407,35.73,19.2454545454545
1997-06-01,2611.28570015411,34.5,17.8038095238095
1997-07-01,2449.19570404663,35,18.5565217391304
1997-08-01,2250.10004305115,36.93,18.8157142857143
1997-09-01,2104.30955452118,37.15,18.5818181818182
1997-10-01,2050.6955684021,37.15,20.1326086956522
1997-11-01,1918.49994499359,33.6,19.309
1997-12-01,1761.45239143524,31.4,17.4178260869565
1998-01-01,1687.60000986328,31.4,15.5104545454545
1998-02-01,1663.99998604431,33.44,14.366
1998-03-01,1747.15916341095,31.88,13.46
1998-04-01,1800.12507817535,31.18,13.8090909090909
1998-05-01,1731.65792903595,30.28,14.5085714285714
1998-06-01,1656.59518632507,30,13.0595454545455
1998-07-01,1655.66672697449,30,12.5234782608696
1998-08-01,1619.92507875671,26.2,12.1528571428571
1998-09-01,1646.77269191284,27.09,13.6263636363636
1998-10-01,1585.49992534637,27.1,12.8963636363636
1998-11-01,1573.72497511139,26.1,11.4419047619048
1998-12-01,1475.76309447174,26.1,10.16
1999-01-01,1432.00002842255,26.1,11.1866666666667
1999-02-01,1412.95,26.1,10.4295
1999-03-01,1378.47727272727,26.1,12.8852173913043
1999-04-01,1463.725,26.1,15.5009090909091
1999-05-01,1510.44736842105,26.1,15.67
1999-06-01,1422.15909090909,26.1,16.1318181818182
1999-07-01,1639.18181818182,26.1,19.0322727272727
1999-08-01,1646.7380952381,26.1,20.5977272727273
1999-09-01,1749.68181818182,26.1,23.1495454545455
1999-10-01,1723.28571428571,25.6,22.1785714285714
1999-11-01,1726.77272727273,25.1,24.8372727272727
1999-12-01,1764.88235294118,25.1,25.6991304347826
2000-01-01,1843.85,25.1,25.6333333333333
2000-02-01,1807.025,25.1,28.0304761904762
2000-03-01,1739.8,25.1,27.494347826087
2000-04-01,1681.9075,25.1,23.1535
2000-05-01,1785.09782608696,25.6,27.8052173913044
2000-06-01,1752.07272727273,25.6,30.4831818181818
2000-07-01,1803.14285714286,25.6,28.8942857142857
2000-08-01,1857.12391304348,25.6,31.6291304347826
2000-09-01,1961.89285714286,27.15,33.3604761904762
2000-10-01,1894.37272727273,27.15,31.3027272727273
2000-11-01,1795.60227272727,27.15,32.8809090909091
2000-12-01,1852.4,30.75,25.4757142857143
2001-01-01,1787.05681818182,32.1,25.79
2001-02-01,1766.125,32.1,27.8965
2001-03-01,1742.15909090909,32.6,25.0345454545454
2001-04-01,1665.97222222222,33.5,26.0180952380952
2001-05-01,1684.85,33.8,28.4382608695652
2001-06-01,1610.46904761905,33.9,28.0038095238095
2001-07-01,1526.77045454545,34,24.9913636363636
2001-08-01,1466.41136363636,33.8,25.7360869565217
2001-09-01,1427.69736842105,32.8,25.837
2001-10-01,1377.37608695652,32.4,21.0326086956522
2001-11-01,1434.29318181818,29.4,19.1054545454545
2001-12-01,1472.84705882353,27.35,18.6814285714286
2002-01-01,1508.22727272727,29.1,20.0330434782609
2002-02-01,1561.3675,29.85,20.545
2002-03-01,1607.3925,29.55,24.0009523809524
2002-04-01,1588.57142857143,28.84,25.9454545454545
2002-05-01,1597.02272727273,28.63,25.5495652173913
2002-06-01,1650.59444444444,26.65,24.368
2002-07-01,1588.2847826087,24.9,25.8578260869565
2002-08-01,1482.91666666667,24,26.62
2002-09-01,1478.93333333333,24.45,28.3709523809524
2002-10-01,1486.17173913043,26.25,27.5226086956522
2002-11-01,1581.03571428571,26.25,24.2504761904762
2002-12-01,1592.96428571429,26.25,28.3172727272727
2003-01-01,1650.31136363636,26.6785714285714,30.8086956521739
2003-02-01,1682.145,26.9464285714286,32.6625
2003-03-01,1655.69285714286,26.1428571428571,30.1680952380952
2003-04-01,1587.8675,25.125,25.035
2003-05-01,1651.1,24.9642857142857,25.7145454545455
2003-06-01,1685.10714285714,25.8214285714286,27.5666666666667
2003-07-01,1712.82608695652,26.0892857142857,28.5039130434783
2003-08-01,1756.725,27.1339285714286,29.7180952380952
2003-09-01,1789.67045454545,28.6071428571429,27.0440909090909
2003-10-01,1925.58260869565,29.4642857142857,29.435652173913
2003-11-01,2053.275,32.0491071428571,28.9485
2003-12-01,2202.03571428571,36.4285714285714,29.7434782608696
2004-01-01,2421.47619047619,40.4464285714286,30.9818181818182
2004-02-01,2751.7175,44.7321428571429,30.795
2004-03-01,3000.28260869565,52.4330357142857,33.424347826087
2004-04-01,2926.975,57.0535714285714,33.3577272727273
2004-05-01,2728.46052631579,60.46875,37.5890476190476
2004-06-01,2689.04545454545,63.8035714285714,35.4377272727273
2004-07-01,2816.79545454545,65.7589285714286,38.2268181818182
2004-08-01,2844.20238095238,63.4821428571429,42.2240909090909
2004-09-01,2903.17045454545,59.3303571428571,43.3159090909091
2004-10-01,3009.40476190476,60.6696428571429,49.7361904761905
2004-11-01,3130.30909090909,56.5982142857143,43.7486363636364
2004-12-01,3139.78571428571,55.9821428571429,39.965652173913
2005-01-01,3168.1,56.8339285714286,44.1747619047619
2005-02-01,3247.1,53.4616071428571,45.721
2005-03-01,3378.90476190476,54.5625,53.2291304347826
2005-04-01,3389.80952380952,54.9107142857143,52.6042857142857
2005-05-01,3241.9,54.9776785714286,49.2854545454545
2005-06-01,3529.72727272727,54.6428571428571,54.8390909090909
2005-07-01,3608.47619047619,54.5357142857143,57.6257142857143
2005-08-01,3791.90909090909,50.6907467532467,63.9504347826087
2005-09-01,3850.65909090909,48.3214285714286,63.2613636363636
2005-10-01,4056.16666666667,44.5280612244898,58.9085714285714
2005-11-01,4278.15909090909,40.6412337662338,55.4495454545455
2005-12-01,4577.025,41.6892857142857,57.1568181818182
2006-01-01,4743.85714285714,45.6428571428572,63.3118181818182
2006-02-01,4974.975,50.9196428571429,60.8055
2006-03-01,5123.67391304348,53.2127329192547,62.7469565217391
